carriers,exist,prime,sector	48	18	How many force carriers exist in the prime-seven sector?
arrow,considered,dynamics,fold	0	2	Why is the dynamics of the fold considered to have an arrow of time?
derivation,suites,test,theory	0	1	How many test suites must be run to complete the full, ordered derivation of the theory?
many,smithions,theory,total	3	0	How many total Smithions are there in the theory?
137,element,periodic,table	26	5	Why does the periodic table end at element 137?
binding,generator,header,parse	6	20	What types of information can the C Header Binding Generator parse?
determined,scale,smithian,value	0	1	What is the Smithian Scale and how is its value determined?
cap,default,function,parameter	0	3	What is the default value for the cap parameter in the period function?
oxidation,possible,smithium,states	3	8	What are the possible oxidation states for Smithium?
action,fire,potential,unable	4	1	Why is an action potential unable to half-fire?
deterministic,particle,process,randomly	0	2	Why does a single particle appear to land randomly if the process is deterministic?
excitation,ladder,many,rungs	0	1	How many rungs can an excitation ladder have at most?
axion,eliminate,smithian,theory	2	7	Why does the Smithian Fold Theory eliminate the need for the axion?
bases,codon,consist,instead	0	6	Why does a codon consist of three bases instead of two or four?
parity,smithian,violate,weak	2	0	How does the weak force violate parity within the Smithian Fold Theory?
confining,flux,spreading,tube	0	1	Why does the strong field form a confining flux tube instead of spreading out like an electric field?
described,force,weak,weak	11	2	Why is the weak force described as "weak"?
consciousness,explain,problem,smithian	1	4	How does the Smithian Fold Theory explain the hard problem of consciousness?
assign,expansion,rates,smithian	0	1	What specific value does the Smithian Fold Theory assign to the ratio between the late and early expansion rates?
dark,falsify,regarding,theory	0	1	What would falsify the part of the theory regarding dark matter?
approximately,baryon,ratio,theory	0	1	Why is the dark-to-baryon ratio approximately 5.4 in this theory?
navier,prevents,singularities,stokes	0	1	What prevents Navier-Stokes flows from developing finite-time singularities?
considered,neural,spike,why	1	0	Why is a neural spike considered all-or-nothing?
allocated,collector,garbage,values	1	4	How does the garbage collector manage heap-allocated values?
adjusted,continuous,parameters,smithian	1	0	Does the Smithian Fold Theory allow for any continuous parameters that can be freely adjusted?
masses,neutrino,predict,specific	1	5	What specific value for the sum of neutrino masses does the theory predict?
drag,magnitude,relate,theorem	0	2	How does the magnitude of noise relate to drag in this theorem?
cancer,define,structurally,theory	0	1	How does the theory define cancer structurally?
build,elements,generator,magic	0	3	What three elements or facts are used to build the magic-number generator?
lacks,possesses,properties,structure	0	1	What are the two properties that the fold's structure possesses which the real line lacks?
branching,cascade,consist,turbulence	15	4	Why does the energy cascade in turbulence consist of a three-fold branching process?
energy,falsify,prediction,regarding	0	1	What would falsify the theory's prediction regarding dark energy?
faster,theory,travel,violate	0	1	Why does the theory not violate the rule that no information can travel faster than light?
baryon,ratio,theory,value	1	4	What is the value of the dark-to-baryon ratio in this theory?
games,processed,solver,specific	1	0	What specific types of games can be processed by this solver?
decays,decays,electrons,tau	2	0	Why does the theory predict that tau decays to electrons will occur four times more often than decays to muons?
colour,constants,listed,share	0	2	How many of the ten listed constants share the colour count three?
check,consistency,forcing,proof	1	0	What is the difference between a consistency check and a forcing proof?
distribution,exponent,fitted,tuned	0	1	Why is the exponent in this distribution exactly one rather than a fitted or tuned value?
sector,strong,theory,violation	0	1	Why does the strong sector have no CP violation in this theory?
u6c90f8db|happens,make,prove,run	0	3	What happens when you run make prove?
change,fold,map,value	0	1	How does the fold map change a value p/q?
bath,contain,empty,universe	1	4	Why does the universe contain matter instead of being an empty bath of light?
failures,process,recorded,verify	0	1	How many failures were recorded during the verify prove process at the time of writing?
navier,singularity,smithian,stokes	0	1	Why does the Navier-Stokes problem not result in a singularity in the Smithian Fold Theory?
considered,covering,depths,seven	0	1	Why are the covering depths five and seven considered necessary rather than free?
considered,feeling,future,illusion	1	0	Why is the feeling of an open future not considered an illusion?
channel,ratio,relationship,split	0	3	What is the relationship between the channel split and the channel mass-part ratio in U2?
compiler,ernosplain,hosted,lines	1	0	How many lines of ErnosPlain make up the self-hosted compiler?
colours,evaluating,invariant,smithions	0	1	How many Smithions are produced when evaluating the invariant at the new colours?
anomalous,contribution,electron,muon	0	1	How does the anomalous contribution of the muon compare to that of the electron in the fold?
arguments,calling,function,separated	8	3	How are arguments separated when calling a function?
majorana,neutrino,particle,smithian	1	0	Why does the Smithian Fold Theory conclude that the neutrino must be a Majorana particle?
bursts,cosmic,flashes,glow	0	2	Why do cosmic bursts appear as sharp, brief flashes rather than a slow glow?
cells,cells,frequency,squeezed	3	11	Why must a state spread over more frequency cells if its position cells are squeezed?
distribution,equal,exactly,exponent	0	1	Why does the exponent of this distribution equal exactly one?
languages,translated,transpile,using	0	1	What languages can be translated to EP using the transpile command?
described,graded,rather,response	1	0	Why is the neuronal response described as all-or-nothing rather than graded?
metabolic,rate,scale,thirds	1	4	Why does the metabolic rate scale as mass to the three-quarter power instead of two-thirds?
duality,formulas,lepton,quark	0	1	What is the relationship between the lepton and quark formulas in terms of duality?
coordinates,island,smithium,specific	1	0	What are the specific coordinates for the Smithium island?
criteria,falsification,smithian,theory	0	2	What criteria would lead to the falsification of the Smithian Fold Theory?
achieve,immortality,propose,required	1	0	What does the theory propose is required to achieve immortality?
elements,maximum,periodic,table	1	4	What is the maximum number of elements possible in the periodic table?
